"hz","date","epi_year","epi_week","day","r_mean","r_se","r_lci","r_uci","cases"
"Butembo",2019-05-20,2019,20,288,0.296930054528793,0.0872235374826197,0.12,0.48,22
"Butembo",2019-05-27,2019,21,295,0.367687385284471,0.23115477873089,0,0.833333333333333,25
"Butembo",2019-06-03,2019,22,302,0.661959235176971,0.342159533394271,0,1.25,6
"Butembo",2019-06-10,2019,23,309,0.986864265786895,0.485952752779162,0.158333333333334,2,3
"Butembo",2019-06-17,2019,24,316,0.81607031855678,0.440796429060665,0,1.66666666666667,2
"Butembo",2019-06-24,2019,25,323,0.642441027832207,0.250817190340665,0.166666666666667,1.16666666666667,2
"Butembo",2019-07-01,2019,26,330,1.17150522709249,0.683032258485838,0,2.5,6
"Butembo",2019-07-08,2019,27,337,NA,NA,NA,NA,2
"Butembo",2019-07-15,2019,28,344,NA,NA,NA,NA,0
"Butembo",2019-07-22,2019,29,351,NA,NA,NA,NA,3
"Butembo",2019-07-29,2019,30,358,0.728420975252504,0.292837955422914,0.2,1.4,4
"Butembo",2019-08-05,2019,31,365,0.632061890151649,0.264083547841362,0.2,1.2,3
"Butembo",2019-08-12,2019,32,372,0.391210182909127,0.305738189583881,0,1,5
"Butembo",2019-08-19,2019,33,379,0.297541062629791,0.244761641125355,0,0.666666666666667,2
"Butembo",2019-08-26,2019,34,386,0.369221494047688,0.532468821709013,0,1.52499999999998,3
"Butembo",2019-09-02,2019,35,393,NA,NA,NA,NA,1
"Butembo",2019-09-09,2019,36,400,NA,NA,NA,NA,0
"Butembo",2019-09-16,2019,37,407,NA,NA,NA,NA,1
"Butembo",2019-09-23,2019,38,414,NA,NA,NA,NA,0
"Butembo",2019-09-30,2019,39,421,NA,NA,NA,NA,1
"Butembo",2019-10-07,2019,40,428,NA,NA,NA,NA,0
"Butembo",2019-10-14,2019,41,NA,NA,NA,NA,NA,0
"Kalunguta",2018-08-13,2018,32,8,NA,NA,NA,NA,0
"Kalunguta",2018-08-20,2018,33,15,NA,NA,NA,NA,0
"Kalunguta",2018-08-27,2018,34,22,NA,NA,NA,NA,0
